MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
24.4,31.4,23.6,74.0,1008.9
25.9,31.7,0.6,70.0,1008.9
26.1,32.0,2.4,44.0,1010.4
23.9,31.2,0.0,62.0,1011.9
24.2,32.3,0.0,65.0,1012.3
26.2,31.8,1.4,66.0,1009.2
26.7,32.4,0.0,65.0,1006.4
22.5,30.9,76.8,70.0,1006.3
23.8,32.2,3.8,71.0,1006.3
27.5,31.5,0.0,73.0,1007.2
27.3,31.6,0.0,63.0,1007.1
25.2,31.4,0.0,57.0,1008.1
26.2,32.2,0.0,61.0,1005.9
27.5,34.0,0.0,66.0,1002.2
23.4,33.8,21.2,42.0,1004.8
26.1,31.7,0.0,53.0,1008.8
27.2,31.2,0.0,64.0,1009.2
26.1,31.4,0.0,60.0,1007.6
27.3,31.5,0.0,73.0,1007.1
26.6,33.5,0.0,64.0,1005.8
26.3,33.0,0.2,64.0,1008.6
25.6,32.4,0.0,69.0,1010.1
25.4,31.2,0.4,50.0,1009.8
24.1,31.5,0.0,52.0,1009.2
24.1,31.7,0.0,54.0,1008.7
25.1,32.4,0.0,58.0,1008.7
26.5,33.2,0.0,65.0,1006.8
26.7,33.4,0.0,62.0,1003.6
24.9,31.1,14.4,66.0,1003.9
25.1,32.3,2.8,83.0,1004.9
24.1,31.2,31.2,67.0,1003.7
24.8,31.9,1.4,69.0,1005.4
25.1,31.0,0.8,72.0,1006.9
25.3,31.3,1.2,70.0,1007.5
23.8,31.5,17.4,69.0,1006.9
25.0,31.3,0.4,70.0,1005.6
25.2,31.6,1.8,69.0,1005.2
25.3,31.6,0.6,68.0,1004.5
26.3,31.6,0.0,71.0,1003.7
25.5,31.7,1.0,67.0,1003.2
23.2,31.3,4.4,55.0,1003.4
23.7,31.2,1.0,60.0,1005.6
24.1,25.1,2.8,90.0,1004.3
20.2,27.2,177.6,94.0,1003.8
23.1,28.3,44.8,90.0,1007.0
24.1,30.0,86.2,74.0,1009.2
24.8,30.4,0.0,79.0,1010.1
25.3,30.8,3.2,81.0,1009.6
24.3,31.0,4.2,78.0,1010.9
24.1,31.1,1.4,65.0,1010.4
23.7,31.1,0.0,65.0,1010.7
24.5,31.4,0.4,65.0,1009.0
25.8,30.7,0.2,79.0,1007.2
24.2,29.1,21.4,84.0,1008.4
23.6,31.6,54.0,64.0,1007.4
24.1,31.1,34.2,72.0,1007.8
23.4,28.7,42.4,80.0,1008.9
23.8,29.7,19.0,89.0,1008.1
23.8,28.5,4.2,91.0,1007.9
23.1,26.3,21.6,91.0,1006.3
23.1,27.4,53.2,92.0,1005.0
23.5,30.3,53.0,68.0,1003.3
23.1,28.9,31.2,85.0,1000.8
24.2,29.7,58.6,92.0,999.9
22.8,25.4,236.8,95.0,1000.6
23.0,29.6,93.4,68.0,1000.5
23.8,29.8,6.2,86.0,1001.0
24.4,27.5,10.2,96.0,1002.0
23.9,26.7,79.6,95.0,1003.8
24.3,27.8,95.2,94.0,1006.2
24.7,30.4,50.6,79.0,1006.5
26.1,30.7,3.8,72.0,1007.3
26.1,31.8,0.0,77.0,1005.7
23.9,31.0,48.0,65.0,1006.0
23.9,29.9,52.6,69.0,1007.4
24.4,30.4,9.6,74.0,1006.5
25.9,31.6,0.0,72.0,1005.2
25.6,31.5,0.6,74.0,1003.4
23.5,30.6,43.2,72.0,1002.0
24.0,31.6,0.0,73.0,1002.3
25.1,32.1,0.0,64.0,1005.4
25.7,32.3,0.0,60.0,1007.3
26.0,32.6,0.0,62.0,1005.4
23.8,28.8,17.4,88.0,1007.6
23.1,28.5,56.6,81.0,1009.4
24.7,31.1,0.8,73.0,1008.2
23.8,29.7,1.2,78.0,1008.4
23.5,30.4,65.2,67.0,1008.1
23.9,31.3,0.0,61.0,1008.1
23.2,30.7,0.0,51.0,1009.6
22.3,31.0,0.0,58.0,1009.5
22.0,30.2,0.0,62.0,1009.1
22.9,31.0,0.0,59.0,1010.0
24.0,32.0,0.0,62.0,1009.2
25.2,31.9,0.0,68.0,1007.3
25.0,31.3,0.0,71.0,1007.0
24.2,29.5,0.8,93.0,1004.4
24.6,32.3,1.2,54.0,1004.1
24.5,31.5,3.0,67.0,1006.1
25.9,31.8,0.8,66.0,1008.1
24.8,31.4,0.6,63.0,1009.3
24.2,31.5,9.2,63.0,1009.6
24.4,31.9,1.2,60.0,1008.7
24.8,31.6,0.0,67.0,1007.9
23.1,32.8,0.0,61.0,1007.4
23.9,31.9,0.0,61.0,1006.8
24.1,32.5,0.0,60.0,1006.2
