MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
13.1,24.2,0.0,34.0,1003.6
5.7,24.2,0.0,25.0,1006.3
9.4,25.7,0.0,26.0,1005.9
11.6,24.8,0.0,32.0,1014.0
14.6,29.1,0.4,47.0,1007.7
13.8,28.8,0.0,21.0,1004.8
16.5,26.4,0.0,12.0,1005.2
12.2,26.4,0.0,16.0,1008.1
10.0,28.1,0.0,14.0,1004.6
14.7,22.7,0.4,48.0,1007.0
13.9,23.2,0.0,49.0,1011.0
12.5,20.7,4.8,90.0,1006.7
12.8,22.1,55.6,65.0,992.6
12.7,20.0,0.0,41.0,996.8
10.7,23.2,0.0,39.0,1005.6
7.5,24.6,0.0,34.0,1008.6
10.2,24.8,0.0,83.0,1008.7
13.0,24.1,8.0,39.0,1000.5
8.2,20.8,0.6,35.0,1006.3
8.0,21.4,0.0,36.0,1016.2
9.6,25.0,0.0,30.0,1015.8
11.1,29.3,0.0,33.0,1011.2
16.3,25.7,1.8,53.0,1007.8
14.4,19.8,8.8,69.0,1010.9
15.4,29.0,0.0,28.0,1010.3
14.1,30.9,0.0,22.0,1008.9
14.7,27.3,0.0,64.0,1005.1
14.1,29.4,24.8,38.0,1002.1
11.7,26.5,0.0,35.0,1001.1
11.5,21.1,0.0,49.0,1001.6
13.2,23.4,0.0,32.0,1001.7
12.0,26.5,0.0,29.0,1000.6
11.0,25.2,0.0,18.0,1009.0
9.9,26.0,0.0,35.0,1014.8
10.9,30.8,0.0,35.0,1011.9
13.3,32.3,0.0,17.0,1009.2
10.6,35.0,0.0,12.0,1008.0
11.9,36.6,0.0,16.0,1003.4
15.1,28.3,1.2,41.0,1007.6
11.7,22.4,0.0,35.0,1015.1
9.0,24.9,0.0,35.0,1009.9
10.1,29.1,0.0,32.0,1007.1
13.5,28.0,4.4,45.0,1013.1
16.8,34.0,0.0,23.0,1012.4
15.3,37.4,0.0,21.0,1010.3
19.5,37.1,0.0,20.0,1006.4
14.4,29.4,0.0,14.0,1007.9
9.4,26.2,0.0,17.0,1016.4
10.1,29.7,0.0,26.0,1016.1
11.0,33.0,0.0,19.0,1011.4
14.0,34.2,0.0,55.0,1009.8
17.0,33.9,29.2,33.0,1007.7
20.5,29.1,0.0,51.0,1002.8
18.8,31.3,11.8,50.0,1005.9
17.7,29.1,12.4,28.0,1006.6
15.3,27.5,0.0,51.0,1016.1
13.4,32.2,0.0,27.0,1016.2
17.5,32.6,0.0,42.0,1016.4
16.7,36.2,0.0,26.0,1013.3
17.9,37.6,0.0,20.0,1013.0
16.3,37.7,0.0,11.0,1012.5
15.4,38.2,0.0,19.0,1012.0
20.7,32.9,0.0,25.0,1013.7
17.1,34.8,0.0,30.0,1009.0
18.3,32.3,0.0,54.0,1008.7
18.4,33.5,0.0,37.0,1006.2
18.2,37.4,0.0,26.0,1004.7
21.1,39.6,0.0,17.0,1006.2
20.2,39.9,0.0,21.0,1007.9
20.4,39.9,0.0,17.0,1007.3
17.9,26.0,0.0,48.0,1008.4
12.5,24.2,0.0,52.0,1008.2
12.0,23.2,0.0,32.0,1009.9
12.9,15.8,0.0,60.0,1017.7
10.8,18.0,1.6,52.0,1022.8
10.1,19.9,0.0,52.0,1018.8
14.1,21.8,0.0,53.0,1014.7
13.4,21.9,0.0,43.0,1017.1
10.8,21.1,0.0,52.0,1015.4
15.6,25.9,0.0,44.0,1008.4
11.6,30.7,0.0,20.0,1003.9
12.4,29.8,0.0,37.0,1009.0
11.0,28.8,0.0,35.0,1010.2
11.3,27.8,0.0,42.0,1014.3
