MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
19.7,30.0,0.8,54.0,1007.5
21.6,33.1,0.0,33.0,1006.5
21.3,36.1,0.0,27.0,1002.7
22.9,37.7,0.0,22.0,1002.1
24.0,39.0,0.0,21.0,1003.5
24.3,39.7,0.0,17.0,1003.9
26.6,38.6,0.0,21.0,1004.5
26.9,39.4,0.0,24.0,1005.1
24.4,40.0,0.0,24.0,1005.9
25.4,39.8,0.0,20.0,1006.8
23.9,39.5,0.0,13.0,1006.0
20.6,40.9,0.0,13.0,1005.3
22.3,37.3,0.0,24.0,1008.5
19.8,33.8,0.0,24.0,1009.4
17.2,35.9,0.0,13.0,1010.7
19.1,37.9,0.0,10.0,1012.7
21.9,35.4,0.0,20.0,1013.7
19.6,34.9,0.0,20.0,1012.0
20.0,36.6,0.0,15.0,1011.5
19.7,39.6,0.0,13.0,1009.3
25.9,39.8,0.0,17.0,1006.7
22.9,37.8,0.0,17.0,1010.2
22.4,34.6,0.4,25.0,1012.2
22.5,37.2,0.0,21.0,1011.1
21.3,32.5,0.0,54.0,1011.1
19.6,38.0,0.0,22.0,1004.5
25.4,34.7,0.0,39.0,1006.6
16.9,20.0,40.2,71.0,1016.6
14.9,26.5,0.4,49.0,1012.9
14.8,16.4,7.2,95.0,1014.1
14.4,23.4,0.7843626806833113,56.0,1015.2
13.6,27.3,0.0,36.0,1016.6
16.0,27.7,0.0,29.0,1016.3
15.0,29.9,0.0,23.0,1014.8
15.4,29.7,0.0,23.0,1015.5
19.3,29.1,0.0,28.0,1015.8
14.5,31.5,0.0,25.0,1014.0
17.4,32.7,0.0,18.0,1014.3
17.2,32.3,0.0,18.0,1015.8
17.1,31.7,0.0,16.0,1016.3
14.9,31.8,0.0,16.0,1015.4
14.8,31.1,0.0,16.0,1014.9
15.1,30.6,0.0,17.0,1014.4
11.8,32.0,0.0,16.0,1013.4
15.0,33.7,0.0,14.0,1010.9
18.5,32.4,0.0,26.0,1009.7
15.5,29.9,0.0,29.0,1011.8
14.9,31.9,0.0,21.0,1011.3
16.0,32.6,0.0,19.0,1012.4
16.1,33.5,0.0,19.0,1013.6
15.9,36.0,0.0,15.0,1010.0
15.4,33.8,0.0,26.0,1008.1
15.7,31.2,0.0,29.0,1010.9
16.3,29.9,0.0,28.0,1014.4
14.6,29.3,0.0,24.0,1016.9
13.8,28.9,0.0,21.0,1019.2
11.0,29.6,0.0,14.0,1018.5
8.4,29.2,0.0,16.0,1016.2
11.0,30.8,0.0,12.0,1015.1
8.4,32.6,0.0,10.0,1015.7
11.9,32.8,0.0,10.0,1016.1
11.6,32.5,0.0,11.0,1016.2
12.4,32.4,0.0,12.0,1016.0
14.1,32.8,0.0,15.0,1016.0
14.3,33.0,0.0,15.0,1016.0
15.9,29.0,0.0,28.0,1014.8
11.9,31.3,0.0,19.0,1013.3
12.1,32.6,0.0,16.0,1012.8
14.4,32.3,0.0,16.0,1014.2
13.8,30.9,0.0,21.0,1015.5
13.4,31.9,0.0,22.0,1014.7
15.6,31.3,0.0,34.0,1012.9
14.3,20.2,4.0,60.0,1019.6
8.1,20.3,0.0,37.0,1020.1
7.8,17.0,0.0,39.0,1017.8
10.5,17.6,0.0,52.0,1015.2
3.3,21.6,0.0,30.0,1015.9
5.1,23.1,0.0,38.0,1015.8
5.5,23.7,0.0,25.0,1016.4
11.5,23.4,0.0,55.0,1013.8
13.6,20.3,0.0,100.0,1011.6
16.6,22.3,42.4,53.0,1008.5
10.0,20.9,0.0,54.0,1015.8
9.9,18.5,0.0,47.0,1020.8
8.3,19.8,0.0,39.0,1023.2
8.3,20.4,0.0,32.0,1022.8
5.9,20.5,0.0,27.0,1020.3
5.6,20.8,0.0,30.0,1018.9
5.8,24.5,0.0,27.0,1016.5
7.3,27.4,0.0,23.0,1014.3
14.4,24.7,0.0,44.0,1013.8
16.1,23.6,1.6,59.0,1014.6
12.1,13.4,0.2,64.0,1020.8
10.6,17.5,0.0,57.0,1022.5
11.0,15.9,0.0,55.0,1023.0
11.2,14.5,0.0,65.0,1019.0
10.8,16.4,4.0,68.0,1016.3
11.7,15.1,2.8,76.0,1019.4
12.2,18.9,0.4,65.0,1023.1
13.6,19.6,0.0,65.0,1020.9
10.9,24.3,0.0,44.0,1018.1
10.2,26.2,0.0,37.0,1016.0
11.9,21.5,0.0,34.0,1017.6
3.1,17.3,0.2,45.0,1017.8
8.1,19.0,0.0,38.0,1016.1
5.3,17.9,0.0,38.0,1018.1
9.2,17.1,0.0,42.0,1018.3
9.0,15.7,0.2,53.0,1016.5
9.7,18.7,0.2,45.0,1014.4
9.4,18.4,0.4,41.0,1016.4
9.7,11.5,2.4,85.0,1019.5
7.7,16.2,2.6,56.0,1020.6
3.5,17.9,0.2,36.0,1021.3
3.5,18.6,0.0,34.0,1021.1
-0.1,18.2,0.0,31.0,1020.9
4.9,18.0,0.0,30.0,1020.4
9.1,19.3,0.8,31.0,1019.4
10.7,13.8,1.4,70.0,1017.1
11.0,17.8,0.8,61.0,1016.8
8.7,20.1,0.0,38.0,1020.8
7.6,19.5,0.0,34.0,1026.9
6.6,18.9,0.0,29.0,1028.8
4.4,19.1,0.0,34.0,1026.2
3.8,19.5,0.0,33.0,1023.2
1.5,21.3,0.0,28.0,1019.5
0.4,23.0,0.0,24.0,1015.4
6.3,18.7,0.0,37.0,1019.4
5.5,21.5,0.0,26.0,1020.1
4.7,22.5,0.0,22.0,1023.0
5.7,19.2,0.0,26.0,1025.6
7.7,11.5,0.0,80.0,1023.6
8.1,20.8,0.0,57.0,1020.3
9.0,23.1,0.0,49.0,1019.7
10.2,27.9,0.0,30.0,1015.8
10.5,28.4,0.0,33.0,1014.5
8.7,24.8,0.0,33.0,1018.2
8.0,23.0,0.0,39.0,1020.0
7.5,26.4,0.0,35.0,1016.4
8.4,28.6,0.0,22.0,1007.7
4.4,19.9,0.0,25.0,1013.5
2.3,15.8,0.0,39.0,1020.7
1.5,16.8,0.0,32.0,1021.2
0.9,16.1,0.0,38.0,1020.1
-0.2,17.4,0.0,30.0,1023.7
2.9,17.9,0.0,27.0,1027.4
2.3,18.8,0.0,25.0,1026.2
-0.9,20.3,0.0,21.0,1023.7
1.4,21.9,0.0,16.0,1019.5
-0.1,25.2,0.0,15.0,1014.9
2.8,24.9,0.0,23.0,1017.1
3.5,22.9,0.0,27.0,1020.8
6.1,21.3,0.0,29.0,1019.7
5.8,22.5,0.0,26.0,1017.8
5.6,24.8,0.0,24.0,1016.7
6.5,23.8,0.0,18.0,1021.4
2.1,22.7,0.0,25.0,1022.8
0.7,23.5,0.0,21.0,1021.2
1.9,25.2,0.0,15.0,1018.3
1.3,27.2,0.0,12.0,1016.7
3.9,27.0,0.0,15.0,1017.3
5.9,27.9,0.0,15.0,1016.5
6.2,29.6,0.0,12.0,1015.3
6.7,30.5,0.0,12.0,1014.9
6.2,31.5,0.0,11.0,1012.2
11.0,26.1,0.0,33.0,1015.3
8.6,29.3,0.0,20.0,1013.2
10.3,25.8,0.0,17.0,1017.0
9.3,26.4,0.0,21.0,1014.2
13.9,25.5,0.0,21.0,1011.0
1.8,22.2,0.0,12.0,1017.2
2.2,26.0,0.0,9.0,1017.2
5.6,24.9,0.0,18.0,1017.7
8.8,23.0,0.0,29.0,1018.8
7.1,22.7,0.0,23.0,1019.0
2.9,21.6,0.0,23.0,1021.6
2.0,23.2,0.0,21.0,1022.4
8.0,24.6,0.0,19.0,1021.2
5.2,25.4,0.0,15.0,1020.1
3.8,29.1,0.0,10.0,1016.9
5.6,31.1,0.0,11.0,1016.0
6.2,32.7,0.0,9.0,1010.8
9.4,29.3,0.0,15.0,1013.2
8.2,34.6,0.0,13.0,1009.6
11.2,32.7,0.0,18.0,1014.7
13.0,35.4,0.0,17.0,1016.6
14.9,34.2,0.6,17.0,1019.2
16.0,35.0,0.0,12.0,1017.3
12.9,34.9,0.0,10.0,1017.0
13.7,33.7,0.0,11.0,1018.3
11.3,33.5,0.0,9.0,1017.8
13.4,32.9,0.0,8.0,1015.9
9.3,33.1,0.0,9.0,1013.4
11.6,33.4,0.0,11.0,1011.0
11.7,31.5,0.0,17.0,1011.3
11.8,35.4,0.0,11.0,1008.3
16.7,32.7,0.0,15.0,1009.6
10.2,30.0,0.0,13.0,1011.7
7.6,34.2,0.0,11.0,1005.9
13.4,32.1,0.0,10.0,1005.6
9.4,26.9,0.0,22.0,1012.2
6.9,31.6,0.0,10.0,1007.8
9.6,26.8,0.0,15.0,1010.4
6.6,28.4,0.0,8.0,1011.6
3.7,31.9,0.0,6.0,1011.4
8.4,35.2,0.0,7.0,1009.9
10.9,37.3,0.0,7.0,1006.1
14.3,36.0,0.0,7.0,1005.7
10.4,35.5,0.0,7.0,1008.0
10.9,36.3,0.0,8.0,1009.6
15.0,30.2,0.0,15.0,1013.5
12.4,33.7,0.0,8.0,1012.6
13.4,33.4,0.0,10.0,1012.8
13.7,35.9,0.0,12.0,1008.7
15.0,36.8,0.0,15.0,1005.8
14.8,29.7,0.0,21.0,1014.4
10.7,31.7,0.0,9.0,1016.7
13.6,30.1,0.0,11.0,1018.2
10.3,31.7,0.0,6.0,1013.9
9.1,35.3,0.0,5.0,1010.1
11.0,38.5,0.0,6.0,1008.2
12.8,41.1,0.0,5.0,1008.6
21.1,41.2,0.0,4.0,1009.9
15.8,41.4,0.0,4.0,1008.5
17.9,33.6,0.0,19.0,1012.0
15.7,29.7,0.0,19.0,1012.2
15.9,37.8,0.0,8.0,1006.5
15.4,27.1,0.0,17.0,1016.0
11.2,26.3,0.0,14.0,1017.9
10.5,30.9,0.0,10.0,1015.6
9.5,38.1,0.0,9.0,1009.1
18.0,32.0,0.0,18.0,1014.5
15.8,33.4,0.0,10.0,1014.2
15.3,39.9,0.0,6.0,1009.2
20.1,40.4,0.0,8.0,1005.7
23.8,35.1,0.0,19.0,1007.5
16.0,30.2,0.0,18.0,1013.6
16.6,29.6,0.0,23.0,1015.2
12.4,28.4,0.0,16.0,1017.3
11.9,31.9,0.0,9.0,1017.2
13.8,35.0,0.0,6.0,1016.4
14.2,37.9,0.0,6.0,1012.8
18.8,36.6,0.0,11.0,1012.6
18.3,32.3,0.0,14.0,1014.4
16.6,33.1,0.0,13.0,1014.3
15.8,35.1,0.0,10.0,1014.6
16.9,36.6,0.0,7.0,1013.1
15.7,36.8,0.0,5.0,1012.6
14.9,38.2,0.0,5.0,1013.1
21.3,38.3,0.0,9.0,1013.9
20.7,38.9,0.0,7.0,1011.6
18.7,41.4,0.0,6.0,1007.5
