MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
9.9,28.4,0.0,24.0,1003.5
8.9,25.3,0.0,10.0,1012.9
11.0,30.7,0.0,18.0,1014.3
14.7,35.2,0.0,19.0,1010.6
11.8,36.5,0.0,5.0,1009.8
12.5,39.1,0.0,3.0,1007.4
15.6,41.8,0.0,5.0,1002.5
14.5,30.4,0.0,8.0,1010.9
14.8,28.7,0.0,18.0,1013.5
15.9,29.7,0.0,31.0,1008.8
18.1,31.3,0.0,38.0,1007.3
16.5,35.4,0.0,17.0,1011.8
19.4,38.3,0.0,16.0,1011.2
20.9,42.0,0.0,10.0,1008.1
25.6,36.9,0.0,7.0,1009.0
14.0,28.4,0.0,15.0,1012.3
10.8,29.3,0.0,14.0,1016.6
13.7,31.8,0.0,14.0,1016.7
15.9,36.4,0.0,10.0,1011.0
21.8,40.0,0.0,19.0,1006.0
16.4,37.9,15.8,13.0,1006.7
23.1,35.0,0.2,39.0,1001.5
19.8,35.5,12.8,42.0,1004.6
21.3,31.1,0.0,26.0,1008.2
14.7,33.1,0.0,20.0,1014.7
18.0,37.7,0.0,16.0,1014.9
20.9,37.9,0.0,23.0,1014.3
23.0,39.2,0.0,20.0,1012.6
25.3,40.7,0.0,15.0,1012.0
24.8,41.2,0.0,14.0,1010.8
22.9,41.6,0.0,14.0,1011.4
26.9,41.6,0.0,11.0,1009.7
22.7,39.0,0.0,21.0,1007.4
24.4,39.4,0.0,17.0,1004.9
22.1,38.1,0.0,26.0,1004.5
25.8,41.7,0.0,17.0,1002.8
25.2,42.8,0.0,12.0,1005.1
26.0,45.2,0.0,12.0,1005.9
28.5,42.7,0.0,10.0,1006.3
18.7,32.0,0.0,29.0,1008.4
11.0,29.0,0.0,15.0,1007.9
13.8,28.0,0.0,22.0,1010.0
16.6,25.9,0.0,29.0,1015.1
13.4,26.6,8.0,26.0,1019.0
16.0,26.0,0.0,28.0,1017.3
14.1,28.5,0.0,30.0,1013.3
12.0,30.5,0.6,26.0,1013.5
13.3,27.2,0.0,28.0,1013.6
16.5,31.3,0.0,25.0,1007.7
15.8,33.9,0.0,16.0,1005.2
16.5,34.5,0.0,20.0,1008.8
13.2,31.4,0.0,17.0,1010.5
19.0,33.2,0.0,22.0,1012.5
18.3,35.2,0.0,12.0,1009.0
16.4,32.3,0.0,7.0,1012.7
8.9,31.6,0.0,9.0,1013.4
14.0,31.6,0.0,21.0,1015.1
15.6,32.4,0.0,22.0,1012.9
18.5,35.1,0.0,7.0,1005.0
11.0,28.8,0.0,30.0,1008.9
15.6,32.7,0.0,19.0,1011.2
18.5,31.5,0.0,31.0,1010.3
15.3,23.2,0.0,19.0,1013.1
11.8,22.8,0.0,30.0,1012.2
7.3,24.4,0.0,22.0,1011.5
8.9,28.6,0.0,21.0,1012.7
9.9,31.1,0.0,22.0,1014.4
17.6,31.3,0.0,26.0,1016.2
19.6,32.0,0.0,24.0,1016.3
19.3,30.5,0.0,25.0,1018.2
19.5,31.2,0.0,38.0,1016.3
18.5,27.2,8.6,54.0,1015.1
17.0,28.6,0.0,67.0,1007.9
9.8,20.5,5.6,43.0,1012.3
8.7,21.6,0.0,35.0,1011.4
9.0,25.4,0.0,32.0,1013.0
8.9,28.0,0.0,27.0,1014.2
12.4,30.4,0.0,15.0,1013.6
12.7,33.0,0.0,11.0,1013.6
15.9,33.7,0.0,17.0,1013.3
17.0,31.0,0.0,40.0,1012.9
17.1,33.2,0.2,22.0,1012.1
13.5,33.1,0.0,19.0,1014.4
19.0,27.3,0.0,33.0,1018.1
14.6,29.8,0.4,37.0,1017.8
10.8,29.1,0.0,23.0,1020.3
11.9,29.5,0.0,19.0,1020.7
10.8,31.3,0.0,19.0,1018.9
17.1,29.5,0.0,27.0,1019.3
13.4,30.3,0.0,30.0,1018.7
15.0,30.2,0.0,27.0,1019.1
16.4,31.3,0.0,36.0,1018.3
19.7,31.1,0.0,40.0,1013.5
9.9,22.4,2.0,38.0,1018.7
6.0,22.3,0.0,30.0,1016.3
7.7,22.2,0.0,27.0,1018.7
6.6,23.8,0.0,22.0,1022.6
8.5,24.8,0.0,27.0,1023.1
8.1,26.4,0.0,24.0,1019.6
13.8,26.8,0.0,40.0,1018.4
14.1,25.6,0.0,54.0,1020.7
13.4,25.5,0.0,39.0,1020.7
10.9,26.8,0.0,28.0,1017.8
15.5,25.7,0.0,53.0,1012.0
11.1,25.3,0.2,32.0,1010.2
2.6,21.5,0.0,20.0,1012.8
4.3,23.0,0.0,32.0,1016.6
6.8,24.7,0.0,28.0,1018.8
9.0,25.0,0.0,30.0,1018.6
6.1,22.5,0.0,24.0,1019.6
6.1,23.9,0.0,27.0,1020.3
8.3,24.2,0.0,32.0,1021.3
11.7,23.7,0.0,30.0,1015.7
14.0,18.1,0.0,83.0,1003.1
12.8,16.8,11.0,91.0,1002.5
8.8,13.5,15.4,74.0,1005.5
4.7,12.1,2.4,62.0,1014.1
7.6,15.2,0.8,47.0,1018.4
4.0,15.0,0.0,38.0,1019.6
3.0,17.2,0.0,39.0,1021.1
3.2,18.0,0.0,38.0,1022.7
5.1,19.4,0.0,38.0,1023.7
5.0,20.6,0.0,40.0,1025.7
4.4,20.1,0.0,31.0,1027.2
5.0,21.9,0.0,38.0,1027.9
6.1,20.8,0.0,35.0,1024.6
2.6,19.1,0.0,37.0,1023.5
5.2,19.6,0.0,40.0,1025.6
4.7,21.1,0.0,33.0,1021.7
5.3,20.9,0.0,35.0,1022.0
5.8,20.2,0.0,37.0,1021.8
5.3,19.9,0.0,34.0,1018.4
2.9,17.6,0.0,37.0,1015.6
7.5,17.8,0.0,46.0,1014.0
11.4,17.5,0.0,50.0,1012.9
