MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
15.7,24.5,0.0,66.0,1014.0
13.2,25.7,0.0,71.0,1011.1
17.1,21.8,0.0,66.0,1016.6
12.9,24.9,0.0,53.0,1017.4
14.3,24.5,0.0,75.0,1015.5
17.4,23.3,0.0,90.0,1017.3
12.5,23.4,0.0,55.0,1017.0
13.1,25.6,0.0,64.0,1017.6
13.9,25.6,0.0,67.0,1017.0
13.3,24.1,0.0,66.0,1015.1
13.2,31.3,0.0,64.0,1007.1
16.0,22.6,0.0,92.0,1008.3
13.0,22.2,1.0,51.0,1016.3
11.6,23.5,0.0,49.0,1019.3
13.1,29.4,0.0,50.0,1017.2
16.9,38.4,0.0,46.0,1009.6
17.2,23.8,0.0,71.0,1017.7
16.4,19.9,0.0,70.0,1018.9
13.5,21.0,0.0,50.0,1019.3
12.3,23.1,0.0,70.0,1017.4
16.3,24.8,0.0,61.0,1011.0
15.7,23.5,4.2,63.0,1010.6
17.7,23.6,1.0,55.0,1012.1
11.7,26.5,0.2,39.0,1013.7
17.2,25.6,0.0,64.0,1013.4
15.4,25.2,0.0,74.0,1008.7
14.4,20.9,0.0,61.0,1011.1
16.5,20.1,0.0,73.0,1007.2
15.6,22.7,0.0,49.0,1010.7
12.2,20.9,0.0,82.0,1012.7
16.9,31.3,0.0,53.0,1009.0
18.9,29.1,0.0,65.0,1012.1
18.7,29.9,0.0,60.0,1009.0
19.2,24.3,0.6,70.0,1011.5
15.5,22.8,2.9068463994324225,55.0,1015.8
13.3,22.7,0.0,53.0,1012.0
13.7,21.0,0.0,51.0,1008.0
13.7,20.6,1.8,45.0,1016.7
13.9,22.6,0.0,51.0,1021.4
15.6,25.6,0.0,57.0,1020.8
15.2,30.8,0.0,32.0,1017.4
16.9,35.4,0.0,33.0,1010.3
19.1,27.9,0.0,63.0,1010.0
15.3,20.7,0.2,60.0,1019.4
15.0,25.4,6.4,59.0,1012.2
16.6,29.8,0.2,46.0,1006.0
16.4,25.0,0.0,53.0,1010.1
15.2,21.0,0.2,72.0,1016.1
15.0,23.0,0.6,55.0,1016.2
12.4,23.5,0.0,54.0,1017.3
12.6,27.0,0.0,58.0,1018.0
15.6,32.5,0.0,56.0,1010.0
15.7,21.5,0.0,55.0,1016.7
10.3,26.5,0.0,50.0,1012.3
14.9,23.2,0.0,75.0,1003.4
15.6,17.5,0.0,92.0,1003.8
11.8,19.6,15.8,60.0,1016.0
12.6,22.2,0.0,58.0,1016.2
12.6,23.4,0.0,62.0,1013.8
17.1,27.5,0.0,69.0,1004.3
14.0,18.1,8.6,54.0,1012.1
11.8,19.3,1.4,52.0,1027.2
9.6,23.5,0.0,53.0,1027.6
12.9,27.4,0.0,56.0,1023.0
12.2,22.0,0.0,68.0,1023.4
11.2,23.6,0.0,56.0,1021.2
12.9,29.0,0.0,37.0,1015.8
16.1,29.4,0.0,53.0,1015.0
13.9,33.5,0.0,50.0,1011.2
17.0,22.2,0.0,68.0,1014.8
11.7,21.0,0.0,48.0,1015.1
13.2,20.3,0.2,49.0,1022.5
8.2,22.2,0.0,51.0,1021.6
12.0,30.6,0.0,31.0,1013.9
15.5,34.7,0.0,40.0,1007.7
17.8,24.3,0.0,43.0,1006.8
14.9,19.2,1.6,64.0,1015.7
14.5,22.2,0.2,52.0,1011.1
15.3,18.8,0.0,65.0,1008.0
11.8,19.7,7.0,57.0,1015.8
10.3,20.8,0.0,65.0,1012.9
14.7,20.7,5.8,73.0,1012.0
13.1,23.8,0.6,63.0,1013.2
