MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
13.9,20.0,0.0,48.0,1006.0
8.9,18.4,0.8,41.0,1019.0
5.2,21.4,0.0,44.0,1017.4
7.7,30.5,0.0,16.0,1012.7
10.6,29.9,0.0,27.0,1010.1
12.8,31.7,0.0,36.0,1007.4
16.5,22.6,0.0,58.0,1009.9
11.4,19.3,0.0,42.0,1018.6
9.6,22.4,0.0,36.0,1017.3
10.8,25.6,0.0,46.0,1009.6
13.4,25.4,0.0,51.0,1009.4
10.0,26.0,0.0,44.0,1017.1
11.4,37.2,0.0,15.0,1009.8
20.5,34.5,0.0,44.0,1008.5
14.4,24.4,0.0,41.0,1014.4
14.0,20.3,0.0,39.0,1018.4
12.6,21.5,0.0,43.0,1022.2
8.2,27.8,0.0,39.0,1018.5
10.9,37.2,0.0,10.0,1008.9
16.6,40.6,0.0,26.0,1005.3
14.5,29.7,0.0,37.0,1006.1
15.7,35.8,0.0,14.0,993.9
11.9,32.1,0.0,13.0,1002.5
16.1,23.6,0.0,37.0,1011.2
9.3,30.6,0.0,18.0,1016.3
11.6,27.2,0.0,47.0,1019.9
14.4,37.5,0.0,14.0,1013.4
15.9,42.9,0.0,10.0,1009.2
24.9,44.7,0.0,12.0,1009.2
22.7,44.0,0.0,10.0,1008.9
19.5,33.2,0.0,52.0,1013.5
19.1,35.9,0.0,40.0,1011.8
20.0,28.1,0.0,65.0,1009.9
19.6,30.4,1.0,43.0,1009.9
15.9,34.2,0.0,29.0,1005.7
17.1,32.1,0.0,39.0,1006.7
16.7,34.8,0.0,36.0,1006.8
18.0,46.7,0.0,8.0,998.2
17.3,21.7,1.0,64.0,1013.9
14.0,20.8,0.0,33.0,1015.9
11.8,20.0,0.0,39.0,1016.5
12.5,19.0,0.0,48.0,1018.9
13.4,23.4,0.0,38.0,1020.3
8.9,27.0,0.0,26.0,1022.7
11.2,28.9,0.0,27.0,1018.8
12.2,29.4,0.0,29.0,1015.6
13.0,30.0,0.0,33.0,1015.6
12.2,32.0,0.0,22.0,1013.4
12.7,30.4,0.0,30.0,1009.0
14.4,31.3,0.0,22.0,1006.7
16.9,23.9,0.2,47.0,1012.7
15.9,23.2,0.6,53.0,1016.8
16.0,27.2,0.0,50.0,1013.8
13.7,35.0,0.0,13.0,1007.3
12.8,20.1,0.0,39.0,1018.8
13.3,21.2,0.6,60.0,1019.2
11.1,31.4,0.2,30.0,1016.2
13.7,34.4,0.0,22.0,1010.9
15.5,22.6,0.0,46.0,1011.8
14.5,19.5,0.0,59.0,1014.7
13.7,27.6,0.0,36.0,1011.3
16.4,32.4,0.0,37.0,1000.4
12.5,17.5,10.0,58.0,1012.0
11.4,15.8,2.4,69.0,1016.1
11.5,19.8,3.4,61.0,1015.3
11.9,20.5,1.2,54.0,1016.1
13.4,21.5,0.0,46.0,1020.0
7.4,26.1,0.0,42.0,1018.3
11.4,27.5,0.0,50.0,1018.5
14.3,30.0,0.0,37.0,1017.8
16.0,23.8,5.0,66.0,1017.0
14.5,30.8,5.6,42.0,1013.5
17.2,23.7,0.2,99.0,1006.5
10.8,17.8,36.0,50.0,1010.7
11.7,20.8,0.0,54.0,1011.9
12.7,18.0,0.6,67.0,1017.7
11.6,27.6,0.0,20.0,1012.8
12.7,32.7,0.0,20.0,1011.1
14.4,28.4,0.0,50.0,1012.8
12.6,34.8,0.0,12.0,1010.2
17.0,26.8,0.0,66.0,1012.3
14.3,18.3,1.4,61.0,1016.2
9.2,21.9,0.0,49.0,1015.1
12.0,25.5,2.0,55.0,1014.4
12.6,23.5,0.4,51.0,1020.5
11.2,20.0,0.0,48.0,1025.1
6.6,27.7,0.0,29.0,1020.7
7.2,27.0,0.0,27.0,1021.3
11.4,24.1,0.0,44.0,1023.0
11.8,29.2,0.0,30.0,1020.6
11.8,29.5,0.0,30.0,1019.7
13.8,32.6,0.0,27.0,1017.6
17.9,25.8,0.0,99.0,1014.9
9.7,17.7,29.2,47.0,1022.1
9.8,19.6,0.2,86.0,1017.9
7.9,16.1,2.4,59.0,1024.9
9.1,16.5,7.2,73.0,1027.7
11.0,19.5,1.4,61.0,1025.3
12.0,26.0,0.2,32.0,1018.2
13.5,18.7,0.0,77.0,1019.0
12.4,22.4,0.6,57.0,1020.8
9.5,21.3,0.2,53.0,1020.9
6.8,25.8,0.2,27.0,1018.3
8.9,28.5,0.0,19.0,1009.0
11.8,16.3,3.0,53.0,1011.3
4.2,19.9,0.0,37.0,1010.2
13.3,21.3,0.0,51.0,1017.1
9.9,18.0,0.0,64.0,1023.2
12.6,18.9,0.4,57.0,1022.7
6.3,21.7,0.2,42.0,1020.5
6.0,24.2,0.0,32.0,1021.2
6.8,24.4,0.0,31.0,1021.2
7.8,23.1,0.0,37.0,1013.7
13.6,18.8,0.0,77.0,998.4
11.7,18.1,1.2,62.0,994.2
8.1,13.0,1.6,65.0,999.1
6.1,14.0,1.0,80.0,1010.7
6.8,13.1,12.6,52.0,1020.7
4.2,12.7,1.8,62.0,1022.3
-0.1,17.0,0.2,36.0,1020.4
3.6,14.8,0.0,71.0,1022.4
5.1,16.8,0.0,49.0,1026.0
3.3,18.0,0.0,52.0,1026.9
6.4,15.4,0.0,89.0,1030.1
2.9,16.9,0.2,59.0,1029.0
5.5,16.5,0.0,59.0,1026.4
9.1,15.7,0.0,67.0,1027.2
11.1,15.2,0.4,72.0,1029.0
12.1,15.2,2.0,71.0,1025.8
8.4,17.2,0.6,57.0,1023.7
5.4,17.3,0.2,61.0,1022.5
6.5,16.1,0.0,60.0,1019.9
6.2,16.2,0.4,53.0,1013.9
10.7,16.4,0.0,55.0,1010.1
12.5,18.4,0.0,61.0,1005.8
10.8,15.9,0.6,52.0,1014.1
10.6,16.3,0.2,63.0,1020.4
4.9,18.4,0.2,47.0,1021.8
5.3,19.7,0.2,48.0,1019.5
6.1,21.3,0.0,45.0,1021.2
7.6,15.4,0.0,78.0,1023.8
4.9,20.8,0.4,44.0,1021.2
6.2,22.8,0.0,36.0,1018.1
10.0,20.6,0.0,43.0,1020.3
15.7,21.8,0.0,48.0,1015.5
10.5,17.6,4.4,59.0,1020.0
3.6,14.7,0.0,98.0,1021.6
6.2,14.4,2.8,71.0,1024.5
3.3,15.2,2.2,57.0,1026.9
4.1,14.8,0.0,73.0,1030.6
3.7,16.0,0.2,54.0,1031.2
5.6,12.6,0.2,83.0,1029.4
8.4,14.5,0.6,78.0,1026.5
9.1,16.7,2.6,74.0,1018.9
11.4,15.7,2.0,68.0,1016.7
3.9,16.3,0.4,56.0,1015.2
2.4,15.0,0.2,71.0,1009.2
4.0,13.6,3.4,93.0,1004.1
8.6,14.2,2.4,92.0,1005.0
6.8,11.6,9.6,63.0,1005.9
4.3,10.0,20.4,75.0,1020.8
5.6,11.4,4.8,68.0,1023.1
1.9,10.8,0.0,66.0,1019.5
6.7,13.7,0.0,53.0,1008.8
8.7,15.3,0.0,56.0,1008.3
2.7,15.0,0.0,62.0,1014.2
4.6,13.4,0.2,70.0,1023.5
3.8,12.5,0.2,78.0,1028.0
2.3,16.4,0.2,52.0,1028.4
2.3,16.7,0.2,52.0,1025.8
4.5,14.7,0.0,68.0,1017.7
8.9,15.6,0.0,75.0,1018.2
6.6,17.7,1.4,57.0,1017.1
5.5,15.8,0.2,63.0,1013.4
8.4,15.7,2.2,76.0,1012.4
1.7,14.5,6.0,85.0,1010.3
3.3,16.3,4.4,62.0,1007.0
5.2,13.1,0.0,71.0,1006.1
2.7,15.4,0.2,63.0,1004.3
4.8,17.5,0.4,68.0,1005.0
12.4,19.8,0.0,52.0,990.4
10.2,14.7,3.4,60.0,998.3
9.5,12.5,1.0,69.0,1002.8
7.2,12.0,8.6,79.0,1011.8
7.9,14.2,0.6,80.0,1015.3
7.6,12.4,1.6,71.0,1021.0
5.4,12.5,0.4,77.0,1021.4
1.8,14.1,0.8,52.0,1024.4
-0.5,15.0,0.2,48.0,1027.4
1.1,16.4,0.0,52.0,1027.3
3.4,14.8,0.2,59.0,1020.6
7.7,14.6,2.2,59.0,1008.4
11.2,14.6,0.8,64.0,1002.9
8.0,13.8,0.6,71.0,1002.1
6.6,12.8,8.6,65.0,1003.8
6.7,13.0,0.2,60.0,1010.5
3.1,13.6,0.0,77.0,1017.0
1.9,13.9,0.2,60.0,1020.5
1.5,13.4,0.2,60.0,1015.0
5.6,14.6,0.0,61.0,1015.2
10.6,18.0,0.0,42.0,1011.8
12.0,19.9,0.0,32.0,1006.7
11.3,16.5,0.2,63.0,1002.4
6.0,12.9,12.0,58.0,1020.6
1.2,12.5,0.4,58.0,1022.7
3.7,13.6,0.0,50.0,1020.2
4.5,15.4,0.0,42.0,1012.3
6.7,15.1,0.0,63.0,1015.9
7.3,14.2,0.0,68.0,1020.6
9.9,15.9,0.0,56.0,1023.2
8.9,14.2,0.2,69.0,1019.3
7.6,15.1,8.0,52.0,1020.2
9.5,15.8,0.2,64.0,1023.0
10.6,15.4,0.8,55.0,1020.4
7.8,14.6,2.8,43.0,1022.1
8.7,14.3,0.0,67.0,1015.9
6.7,16.1,3.8,65.0,1017.0
10.2,19.4,0.2,51.0,1009.9
9.8,12.3,4.0,51.0,1018.3
0.8,14.8,0.2,45.0,1021.0
3.6,13.6,0.0,41.0,1016.4
7.0,12.4,0.0,61.0,1012.6
7.8,15.6,1.6,87.0,1008.3
6.6,12.3,3.2,89.0,1010.5
7.9,17.8,0.8,66.0,1013.4
7.5,17.6,1.4,53.0,1017.2
7.2,20.2,0.2,38.0,1009.7
13.6,17.2,0.0,59.0,1001.9
8.3,15.8,4.2,45.0,1018.2
7.0,15.8,0.0,57.0,1025.1
4.2,18.2,0.0,44.0,1019.9
10.2,19.0,3.4,44.0,1010.8
10.2,18.4,1.4,47.0,999.0
5.3,14.4,0.2,50.0,1006.1
9.1,18.0,0.4,55.0,1002.6
11.5,17.5,0.0,39.0,996.2
6.1,14.3,7.4,55.0,999.5
5.9,14.8,3.2,52.0,1008.3
7.9,17.7,0.0,48.0,1009.3
9.1,18.4,0.0,57.0,1010.1
12.1,15.9,0.0,65.0,997.0
6.1,15.2,6.2,49.0,1011.8
8.7,16.1,0.0,94.0,1013.9
6.9,15.2,5.0,44.0,1020.6
5.7,18.7,0.0,40.0,1017.4
12.0,21.7,0.0,38.0,1007.1
7.6,16.0,0.8,68.0,1010.0
4.3,16.0,4.4,49.0,1015.0
6.2,15.8,0.0,44.0,1008.0
7.2,16.0,0.6,66.0,1003.4
9.3,15.0,6.2,88.0,1012.1
8.5,13.1,4.0,65.0,1013.6
9.6,14.0,0.0,55.0,1017.7
2.6,22.7,0.2,43.0,1010.6
13.9,29.0,0.0,21.0,1006.6
13.7,19.6,1.0,55.0,1011.0
3.6,16.0,0.2,43.0,1021.2
2.2,19.7,0.0,35.0,1017.9
4.2,23.0,0.0,29.0,1013.7
12.2,18.8,0.0,90.0,1007.9
9.3,18.2,14.2,48.0,1018.9
6.6,20.2,0.0,50.0,1011.6
8.1,17.5,3.8,39.0,1013.5
5.9,19.4,0.0,48.0,1006.5
9.7,18.0,18.2,62.0,995.8
10.3,17.5,0.2,56.0,1004.7
10.4,18.9,1.0,51.0,1008.5
11.3,14.8,10.6,77.0,999.0
6.9,14.3,24.8,72.0,1002.4
7.1,11.6,2.8,68.0,1009.7
7.8,13.7,9.6,59.0,1013.3
7.8,18.6,0.4,43.0,1011.5
11.0,22.6,0.0,33.0,1007.7
12.4,16.8,0.0,70.0,1011.4
9.0,13.6,0.0,59.0,1012.2
9.1,17.6,0.0,52.0,1015.3
8.7,17.8,0.2,58.0,1018.9
9.2,15.9,0.0,65.0,1021.9
8.3,14.1,1.0,58.0,1021.1
5.9,14.6,2.0,46.0,1024.1
3.8,15.1,0.2,47.0,1027.1
3.4,16.8,0.0,53.0,1028.6
2.7,19.3,0.0,40.0,1025.9
4.1,21.8,0.0,32.0,1015.5
10.8,22.6,0.0,49.0,996.6
8.5,17.4,0.2,42.0,992.4
8.9,15.9,4.0,80.0,1002.5
9.5,15.0,5.4,77.0,1007.2
5.2,16.9,8.2,61.0,1017.1
9.2,16.1,2.6,62.0,1025.3
6.6,16.1,0.4,58.0,1027.6
7.0,22.3,0.0,45.0,1023.4
9.4,27.9,0.0,29.0,1015.3
12.9,19.0,0.0,53.0,1021.6
7.3,19.7,0.0,57.0,1020.9
11.2,18.1,0.0,55.0,1021.9
4.3,20.5,0.0,48.0,1018.2
10.1,17.0,0.0,44.0,1021.7
5.6,20.7,0.0,45.0,1024.7
6.1,24.1,0.0,41.0,1023.7
10.2,23.0,0.0,52.0,1023.0
8.3,31.1,0.0,32.0,1018.2
13.9,25.2,0.4,74.0,1018.3
16.7,34.1,2.6,31.0,1016.7
14.6,21.4,0.4,81.0,1021.6
12.6,28.8,0.0,46.0,1016.4
13.5,23.1,0.8,44.0,1011.8
9.5,18.4,1.4,55.0,1019.1
9.7,19.4,0.8,49.0,1023.1
5.2,27.7,0.0,35.0,1022.2
10.5,33.0,0.0,27.0,1024.5
15.2,33.7,0.0,23.0,1024.8
16.4,35.8,0.0,26.0,1020.4
15.9,36.6,0.0,23.0,1017.1
16.8,35.7,0.0,23.0,1018.3
15.2,31.0,0.0,31.0,1017.7
13.1,29.3,0.0,44.0,1016.1
13.4,33.4,0.0,24.0,1011.9
13.4,29.3,0.0,38.0,1010.4
16.4,24.1,0.0,50.0,1007.4
12.9,23.2,0.0,50.0,1009.7
13.9,34.0,0.0,23.0,1005.5
18.0,35.1,0.0,22.0,1006.1
19.0,38.4,0.0,71.0,1007.2
16.9,25.8,3.0,62.0,1006.4
15.1,17.6,48.2,86.0,1007.6
9.3,22.1,17.8,40.0,1024.1
9.0,26.0,0.0,28.0,1022.7
12.4,29.0,0.0,33.0,1017.7
16.6,29.5,5.0,100.0,1007.4
18.0,28.1,21.2,57.0,1006.4
15.4,24.9,0.6,36.0,1000.4
12.4,20.4,11.4,78.0,1004.2
12.8,20.6,6.8,52.0,1014.9
9.8,21.7,0.2,41.0,1019.7
8.4,28.9,0.2,27.0,1017.7
13.1,31.9,0.0,16.0,1010.2
10.1,22.2,0.0,25.0,1018.2
11.0,21.9,0.0,51.0,1016.7
11.2,26.9,0.0,38.0,1013.7
12.2,23.5,0.0,49.0,1012.7
13.7,15.7,8.4,86.0,1009.1
7.3,25.0,13.4,33.0,1008.2
13.7,24.8,0.2,31.0,1004.0
9.6,20.0,8.0,51.0,1017.9
13.6,22.5,0.0,50.0,1017.7
14.6,21.0,0.0,59.0,1020.0
13.3,22.1,0.0,49.0,1021.4
9.7,31.6,0.0,29.0,1016.5
14.3,38.2,0.0,13.0,1009.7
16.7,22.7,0.0,99.0,1007.3
9.3,23.5,9.2,41.0,1016.1
13.0,21.0,0.2,51.0,1019.8
13.6,22.3,0.0,49.0,1017.7
9.6,28.0,0.0,31.0,1011.1
14.4,28.2,0.0,47.0,1011.6
14.0,38.9,0.0,16.0,1006.4
20.7,24.6,0.0,73.0,1007.0
13.7,20.9,5.2,48.0,1015.4
9.8,23.3,0.0,50.0,1017.1
10.6,24.7,0.0,58.0,1016.4
16.7,26.8,0.0,50.0,1018.1
13.8,26.7,0.0,49.0,1021.8
14.4,38.0,0.0,19.0,1015.6
20.0,36.9,0.0,29.0,1007.7
18.8,21.3,29.4,83.0,1009.2
14.5,20.5,9.8,51.0,1012.4
13.5,19.8,0.2,52.0,1019.0
9.8,28.2,0.0,36.0,1014.9
13.8,26.3,0.0,53.0,1014.1
13.1,23.1,0.0,50.0,1017.4
12.1,25.6,0.0,37.0,1016.6
12.2,35.6,0.0,24.0,1013.5
17.1,38.4,0.0,32.0,1014.1
15.2,34.2,0.0,26.0,1014.4
16.7,43.1,0.0,16.0,1006.5
23.5,36.1,0.0,39.0,1004.3
15.9,21.7,3.0,47.0,1016.7
12.1,22.9,0.0,46.0,1018.2
13.6,27.8,0.0,45.0,1013.7
14.9,33.7,0.0,51.0,1005.8
12.3,20.9,0.0,49.0,1008.2
8.6,18.7,9.0,71.0,1011.1
10.3,21.0,19.0,48.0,1012.3
11.7,27.9,0.0,34.0,1009.4
15.4,29.2,0.2,32.0,1009.2
17.7,36.8,0.0,21.0,1003.2
15.2,22.0,0.2,52.0,1015.0
9.4,23.1,1.0,49.0,1013.9
10.4,24.4,0.0,47.0,1011.9
10.9,26.0,0.0,49.0,1012.0
15.3,23.0,0.0,49.0,1014.6
13.5,26.1,0.0,54.0,1008.2
16.6,23.3,0.0,45.0,1015.5
10.7,36.3,0.0,25.0,1011.2
15.9,37.6,0.0,25.0,1006.7
15.6,27.0,3.2,33.0,1015.9
14.5,35.3,0.0,27.0,1012.1
17.9,35.1,0.0,22.0,1009.5
23.1,30.2,0.0,83.0,1008.8
17.0,18.5,9.6,82.0,1016.5
13.6,26.6,1.2,54.0,1019.6
12.8,33.2,0.0,33.0,1018.8
16.3,36.2,0.0,25.0,1018.5
