MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
15.2,34.0,0.0,36.0,1001.5
18.3,24.5,0.0,57.0,1011.7
16.8,23.5,0.4,58.0,1018.4
17.5,27.8,0.0,51.0,1014.6
14.8,36.0,0.0,39.0,1008.7
18.6,33.7,0.0,49.0,1008.1
19.7,35.5,0.0,40.0,1005.8
20.7,23.8,0.0,79.0,1011.9
17.6,23.0,1.4,51.0,1017.6
13.3,24.9,0.0,46.0,1012.8
12.9,27.9,0.0,45.0,1010.3
16.1,28.2,0.0,61.0,1014.5
16.6,28.2,0.0,50.0,1016.1
16.7,35.2,0.0,33.0,1011.5
17.1,42.0,0.0,15.0,1006.2
19.3,26.2,6.0,64.0,1009.1
18.8,23.2,0.0,52.0,1019.4
11.5,24.2,0.0,45.0,1019.6
11.1,30.0,0.0,46.0,1014.8
14.0,34.9,0.0,34.0,1010.3
20.5,38.8,0.0,40.0,1008.3
21.8,28.8,0.0,84.0,1008.0
20.1,35.7,1.0,44.0,1007.0
22.8,40.8,0.0,32.0,1003.5
18.6,23.5,10.4,68.0,1017.6
19.1,24.5,1.0,87.0,1017.8
20.0,27.9,0.4,69.0,1018.5
16.7,30.3,0.0,52.0,1015.3
17.6,31.7,0.0,60.0,1015.6
16.7,32.3,0.0,53.0,1014.5
19.0,33.7,0.0,44.0,1013.6
18.1,31.7,0.0,47.0,1013.0
18.5,30.9,0.0,53.0,1011.7
17.1,31.9,0.0,52.0,1007.4
19.9,31.0,0.0,54.0,1008.0
19.2,34.2,0.0,44.0,1005.7
20.5,38.1,0.0,28.0,1007.5
22.8,38.4,0.0,26.0,1010.3
18.3,35.2,0.0,38.0,1006.9
18.8,26.3,0.0,72.0,1010.1
19.2,22.4,0.0,83.0,1008.3
17.1,23.8,15.0,80.0,1009.1
16.4,23.1,11.0,77.0,1017.3
15.6,24.5,31.2,49.0,1021.9
17.8,19.1,2.2,98.0,1015.5
17.1,21.9,134.8,99.0,1012.0
17.5,26.1,14.4,60.0,1015.3
19.7,23.6,0.0,88.0,1012.7
18.4,25.4,19.4,72.0,1008.3
17.6,30.7,0.0,43.0,1005.0
20.0,30.0,0.0,72.0,1009.4
21.5,26.1,0.0,77.0,1011.8
15.9,26.0,1.0,61.0,1016.4
16.2,31.6,0.0,53.0,1013.4
20.2,34.9,0.2,34.0,1011.5
21.5,27.3,0.4,67.0,1013.6
19.6,25.7,0.0,62.0,1017.6
15.8,24.3,0.2,56.0,1015.3
12.8,32.3,0.0,52.0,1006.3
18.6,26.1,0.0,65.0,1009.8
17.1,26.9,0.2,61.0,1014.4
16.8,28.6,0.0,59.0,1014.4
21.0,30.5,0.0,79.0,1007.4
12.1,23.8,17.2,32.0,1008.7
11.7,24.5,0.0,58.0,1010.8
12.9,26.4,0.0,58.0,1011.0
15.2,26.5,0.0,58.0,1016.6
17.5,25.8,0.0,57.0,1019.3
19.9,24.8,0.0,64.0,1020.2
16.7,25.3,0.0,66.0,1021.1
14.7,26.8,3.2,56.0,1019.3
17.7,28.0,0.0,58.0,1015.2
17.5,30.0,2.0,57.0,1010.6
16.9,31.1,4.4,48.0,1007.0
17.8,25.5,0.0,44.0,1008.5
11.7,23.9,0.0,32.0,1012.1
11.7,25.6,0.0,54.0,1015.8
11.8,28.3,0.0,55.0,1013.4
13.7,28.7,0.0,61.0,1015.2
15.4,26.4,0.0,61.0,1016.2
12.2,26.7,0.0,57.0,1014.7
13.6,29.4,0.0,43.0,1014.7
16.4,30.8,0.0,39.0,1016.1
15.2,32.1,0.0,42.0,1017.4
14.9,32.2,0.0,44.0,1016.1
19.4,25.4,1.4,66.0,1022.7
14.2,24.2,0.0,51.0,1022.7
11.3,25.6,0.0,58.0,1020.8
12.8,25.3,0.0,78.0,1019.5
18.8,22.4,20.8,92.0,1015.6
18.5,23.3,25.4,95.0,1018.0
19.1,25.8,84.4,77.0,1020.0
17.8,27.9,0.8,70.0,1016.0
19.3,23.7,0.4,92.0,1017.3
17.2,24.1,2.6,64.0,1014.6
13.9,23.7,0.0,80.0,1018.1
14.5,20.8,3.4,65.0,1023.2
11.3,21.5,0.8,72.0,1024.4
13.4,22.5,0.4,61.0,1021.8
11.1,23.9,0.0,60.0,1020.4
12.3,24.2,0.0,75.0,1022.4
17.9,26.8,0.2,68.0,1020.1
17.6,22.5,0.0,97.0,1018.6
17.7,27.6,1.8,51.0,1010.7
17.0,28.4,0.0,30.0,1008.1
11.4,25.6,0.0,36.0,1011.3
11.6,23.6,0.0,51.0,1014.7
14.1,23.0,0.0,80.0,1017.0
14.6,21.1,41.0,67.0,1015.6
