MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
11.9,28.3,0.0,49.0,1012.0
15.1,28.8,0.0,48.0,1011.4
16.6,24.7,0.0,54.0,1016.2
13.9,29.9,0.0,44.0,1016.9
15.6,30.1,0.0,56.0,1015.5
17.5,26.1,0.0,58.0,1016.2
13.9,27.2,0.0,45.0,1015.9
13.0,27.3,0.0,50.0,1017.0
14.6,28.7,0.0,47.0,1016.9
15.6,26.7,0.0,50.0,1015.0
12.7,32.6,0.2,30.0,1008.4
14.4,21.8,0.6,72.0,1010.1
9.4,23.3,2.0,47.0,1017.4
10.4,24.6,0.0,41.0,1019.0
12.8,32.2,0.0,33.0,1015.9
10.775066666666667,37.8,0.0,27.0,1011.5
15.8,26.7,0.0,53.0,1017.7
17.0,23.4,0.0,55.0,1018.3
14.0,22.9,0.0,42.0,1018.9
9.8,24.1,0.0,53.0,1018.8
17.0,23.7,0.0,57.0,1014.3
17.2,24.2,2.6,64.0,1013.4
18.3,24.9,0.2,52.0,1013.4
8.1,26.9,0.0,40.0,1014.4
16.5,28.6,0.0,49.0,1013.3
17.9,25.5,0.0,55.0,1009.7
11.7,25.1,0.2,50.0,1010.1
17.0,20.7,0.0,62.0,1007.4
16.4,24.1,0.0,41.0,1011.1
9.8,24.7,0.0,60.0,1011.7
17.4,32.6,0.0,47.0,1009.1
20.3,31.6,0.0,58.0,1012.2
20.0,31.8,0.0,59.0,1010.7
20.1,27.1,0.0,54.0,1012.0
15.6,23.6,0.6,51.0,1015.9
10.775066666666667,21.686247086247086,2.8956639566395665,44.0,1012.1
10.775066666666667,22.5,0.0,40.0,1009.9
15.0,21.9,0.4,43.0,1016.4
9.8,25.4,0.2,44.0,1019.3
12.0,30.8,0.0,30.0,1018.2
15.6,31.9,0.0,30.0,1016.2
11.9,35.8,0.0,20.0,1010.5
19.1,28.9,0.0,76.0,1010.1
16.0,21.8,1.4,49.0,1018.1
16.4,29.6,0.0,53.0,1009.6
17.2,29.1,3.8,47.0,1008.2
15.1,24.0,0.2,59.0,1012.5
14.4,23.7,0.0,54.0,1015.6
10.5,24.7,0.0,44.0,1014.9
9.7,25.8,0.0,46.0,1016.1
12.3,31.3,0.0,38.0,1016.1
14.5,33.5,0.0,29.0,1010.8
16.2,23.4,0.0,46.0,1015.9
9.6,29.3,0.0,33.0,1011.7
13.3,20.8,0.0,58.0,1006.9
14.9,20.5,3.2,56.0,1005.1
12.8,20.8,2.8,58.0,1017.7
6.8,24.3,0.2,41.0,1016.0
14.0,25.5,0.0,54.0,1011.4
15.7,25.8,27.4,76.0,1004.5
15.1,19.4,2.0,41.0,1013.9
13.1,20.3,0.2,45.0,1026.6
6.5,26.0,0.0,32.0,1026.2
8.4,28.9,0.0,34.0,1023.0
15.2,24.2,0.2,53.0,1021.9
11.1,28.0,0.2,36.0,1019.9
11.1,30.1,0.0,29.0,1016.0
9.8,31.7,0.0,28.0,1015.8
11.4,35.1,0.0,26.0,1012.6
12.6,22.9,0.0,64.0,1015.7
8.7,22.8,0.0,44.0,1015.9
10.0,21.6,0.0,41.0,1022.2
7.5,25.7,0.0,33.0,1019.9
11.0,32.5,0.0,30.0,1012.8
13.1,29.0,0.0,55.0,1010.6
17.8,23.5,0.2,61.0,1010.7
