MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
14.939471074380165,21.468174314955434,3.594902749832327,65.12857142857143,1003.3
14.939471074380165,21.468174314955434,3.594902749832327,65.12857142857143,1006.8
14.939471074380165,27.4,3.594902749832327,63.0,1005.8
15.7,21.5,0.4,65.0,1018.9
18.0,27.7,0.0,75.0,1009.2
18.6,32.5,0.2,81.0,1004.4
17.9,23.6,0.6,80.0,1008.9
15.3,21.9,11.2,77.0,1011.9
17.1,23.4,3.0,78.0,1005.8
17.8,20.2,0.0,80.0,1010.8
15.6,18.5,15.0,72.0,1015.9
16.3,22.8,3.4,94.0,1010.0
16.1,31.6,48.4,30.0,990.7
18.2,25.0,0.0,33.0,996.8
15.4,20.7,0.6,54.0,1007.6
14.8,23.1,0.0,67.0,1010.1
16.3,23.1,0.0,80.0,1008.7
17.3,29.0,0.0,79.0,1000.3
14.8,23.8,0.8,61.0,1008.2
14.1,19.0,0.0,73.0,1020.0
12.8,21.6,0.0,61.0,1020.2
16.4,22.9,0.0,67.0,1014.2
18.5,24.4,0.0,82.0,1008.4
17.8,19.5,1.2,92.0,1013.2
17.4,22.9,0.2,68.0,1013.6
18.2,24.7,0.0,80.0,1010.6
20.3,24.1,0.0,87.0,1004.3
19.4,24.6,6.0,77.0,1003.1
19.4,22.2,0.0,78.0,1004.4
16.4,27.7,2.6,77.0,999.6
18.4,29.0,0.0,57.0,1002.4
17.2,32.3,0.0,51.0,1000.3
17.7,19.9,0.0,67.0,1015.5
16.5,22.1,0.0,61.0,1019.9
18.0,23.8,0.0,72.0,1015.0
18.9,25.4,0.0,71.0,1008.3
17.5,24.6,0.0,75.0,1008.2
19.5,32.8,0.0,85.0,1005.5
18.9,20.1,0.4,82.0,1014.5
16.0,21.3,0.6,53.0,1019.7
16.3,23.4,0.6,54.0,1014.6
16.3,24.2,0.0,67.0,1011.4
18.8,23.4,1.0,77.0,1017.0
19.1,24.7,0.2,73.0,1015.5
19.9,30.8,0.0,74.0,1010.4
21.1,27.2,0.0,66.0,1006.5
15.8,24.3,0.0,62.0,1010.1
15.1,20.3,2.0,54.0,1020.8
14.0,23.9,0.0,53.0,1020.3
17.9,24.4,0.0,67.0,1014.2
18.7,26.6,0.0,70.0,1010.3
20.7,27.7,0.0,66.0,1007.8
20.6,32.6,5.2,41.0,1003.4
21.4,28.2,0.0,75.0,1008.0
21.5,40.1,1.2,13.0,1003.6
19.1,24.5,0.0,56.0,1018.8
19.4,24.8,0.0,74.0,1019.8
19.3,22.8,5.6,89.0,1020.0
19.9,24.9,0.0,76.0,1015.6
19.3,26.0,0.0,78.0,1015.9
19.8,26.2,0.0,74.0,1015.5
19.8,25.8,0.0,73.0,1014.4
19.3,24.6,0.0,80.0,1017.0
20.7,26.4,0.0,73.0,1011.3
19.9,24.6,0.0,80.0,1011.0
21.0,26.3,0.0,73.0,1009.4
20.3,26.8,0.0,73.0,1005.8
20.7,27.7,0.0,73.0,1008.3
21.1,26.5,0.0,66.0,1009.4
20.0,25.0,0.0,71.0,1007.7
19.2,20.6,0.0,84.0,1012.0
16.6,18.8,3.2,88.0,1010.6
16.8,21.4,1.4,73.0,1012.4
14.5,21.0,12.6,69.0,1019.8
15.5,21.3,1.4,60.0,1026.1
16.7,20.3,0.4,81.0,1020.7
16.4,21.4,31.6,84.0,1016.0
17.7,22.1,23.2,67.0,1019.0
18.0,22.0,7.2,72.0,1016.7
18.3,24.8,16.8,68.0,1008.6
18.3,25.6,0.0,77.0,1005.8
18.5,24.9,5.8,73.0,1011.3
19.9,22.5,2.8,81.0,1014.7
17.6,24.4,7.6,72.0,1018.0
20.4,25.8,0.0,77.0,1012.3
20.4,25.2,0.4,76.0,1014.5
19.2,23.8,0.0,74.0,1015.4
18.3,22.7,0.0,58.0,1019.3
17.5,23.3,0.0,57.0,1015.9
17.4,25.1,0.0,69.0,1006.9
21.0,25.3,0.0,63.0,1011.1
20.2,25.3,0.0,70.0,1015.7
20.9,26.0,0.0,70.0,1015.0
22.8,25.4,0.0,52.0,1008.2
16.4,23.6,0.0,54.0,1009.0
13.3,21.8,0.0,55.0,1011.7
17.0,23.8,1.4,70.0,1012.5
19.5,21.4,0.0,75.0,1019.9
17.1,23.8,0.4,70.0,1020.7
18.5,25.0,0.4,61.0,1021.5
20.1,24.4,0.0,69.0,1023.3
18.8,24.4,1.6,65.0,1020.0
20.5,23.7,0.0,79.0,1016.5
19.5,24.7,0.8,80.0,1009.1
19.8,24.5,2.0,69.0,1008.6
16.1,25.4,0.0,43.0,1008.2
15.9,22.1,0.0,62.0,1012.9
15.8,23.7,0.0,66.0,1015.5
17.8,24.6,0.0,78.0,1013.5
18.7,24.6,0.0,79.0,1016.9
17.8,24.9,0.0,71.0,1017.4
19.7,26.4,0.0,74.0,1014.3
18.4,24.1,1.6,77.0,1014.8
18.7,23.5,1.0,77.0,1015.6
19.3,24.0,0.0,81.0,1017.7
19.7,23.3,3.2,78.0,1016.2
17.7,20.2,3.8,75.0,1024.4
16.3,22.9,0.6,66.0,1022.6
17.6,24.0,0.0,72.0,1021.2
17.4,23.2,0.0,76.0,1023.2
18.7,21.1,5.0,85.0,1022.1
17.9,22.3,16.4,84.0,1022.7
19.4,22.3,15.2,92.0,1022.5
19.0,22.9,10.4,86.0,1016.1
17.0,19.5,2.6,67.0,1019.7
16.9,22.2,0.0,74.0,1013.7
16.3,18.9,0.0,66.0,1020.2
15.4,19.2,0.0,61.0,1024.9
14.3,20.3,0.0,66.0,1025.1
15.1,22.0,0.0,68.0,1022.3
17.5,23.1,0.0,78.0,1021.1
16.9,21.8,0.0,78.0,1022.9
18.4,23.1,1.8,72.0,1020.3
18.6,20.3,4.2,86.0,1019.8
16.6,22.9,49.0,77.0,1011.4
17.5,29.0,0.0,21.0,1005.8
13.7,22.7,0.0,55.0,1010.9
13.4,21.0,0.0,61.0,1016.5
16.4,21.2,0.0,63.0,1018.9
16.6,18.7,0.0,89.0,1019.6
14.5,18.6,27.6,86.0,1020.7
14.9,19.5,11.4,78.0,1022.5
15.7,20.3,19.6,77.0,1023.3
14.2,20.6,3.2,63.0,1018.4
14.4,22.0,0.0,77.0,1006.2
14.4,23.0,0.8,39.0,1001.7
14.6,19.3,0.0,35.0,1002.4
12.0,18.2,0.0,31.0,1012.3
9.5,20.5,0.0,33.0,1015.5
11.2,15.6,0.0,63.0,1020.5
12.0,17.1,0.0,72.0,1020.9
10.8,20.9,0.0,54.0,1020.9
11.4,19.4,0.0,65.0,1023.9
14.2,19.3,0.0,64.0,1026.1
13.5,22.3,0.0,62.0,1026.0
15.1,19.3,0.0,60.0,1029.0
13.5,21.7,1.2,64.0,1023.5
11.8,20.0,0.0,59.0,1022.2
13.8,18.9,0.0,62.0,1025.6
12.1,20.4,0.0,59.0,1020.9
13.3,18.1,0.2,65.0,1024.2
13.6,18.9,2.2,53.0,1022.5
11.2,18.6,0.0,64.0,1018.1
11.3,21.3,0.0,32.0,1012.5
10.8,20.5,0.0,34.0,1010.7
13.7,21.5,0.0,35.0,1009.3
17.3,21.7,0.0,36.0,1008.2
11.8,18.2,0.0,51.0,1017.7
