MinTemp,MaxTemp,Rainfall,Humidity3pm,Pressure3pm
16.8,29.7,0.0,18.0,1010.1
13.3,28.6,0.0,13.0,1014.4
14.9,32.0,0.0,6.0,1012.3
16.3,36.3,0.0,2.0,1010.5
20.0,38.4,0.0,5.0,1009.5
20.2,40.2,0.0,8.0,1006.8
19.7,33.3,0.0,20.0,1010.4
15.2,31.4,0.0,14.0,1014.2
15.8,33.3,0.0,11.0,1011.3
17.5,33.9,0.0,11.0,1007.3
18.1,33.3,0.0,15.0,1008.2
17.4,38.4,0.0,8.0,1010.6
22.0,42.2,0.0,4.0,1008.1
23.6,40.7,0.0,13.0,1008.9
19.0,31.5,0.0,21.0,1015.2
15.7,32.7,0.0,12.0,1018.0
16.6,33.5,0.0,8.0,1016.3
18.5,35.6,0.0,8.0,1013.0
20.5,39.6,0.0,6.0,1008.3
23.4,40.2,0.0,10.0,1007.0
21.1,37.1,0.0,23.0,1006.6
21.7,38.8,0.0,7.0,1004.1
19.0,37.4,0.0,12.0,1005.0
19.4,33.0,0.0,25.0,1012.1
18.4,37.9,0.0,12.0,1013.4
21.0,39.9,0.0,4.0,1012.5
24.1,43.8,0.0,7.0,1008.4
28.9,44.6,0.0,16.0,1005.6
28.5,42.3,0.0,12.0,1007.1
28.7,42.4,0.0,9.0,1006.8
26.5,41.9,0.0,8.0,1008.6
26.7,41.7,0.0,10.0,1008.8
26.8,43.5,0.0,10.0,1006.4
26.7,43.7,0.0,12.0,1005.0
26.3,42.5,0.0,10.0,1004.4
25.2,42.8,0.0,8.0,1005.0
27.3,45.6,0.0,7.0,1002.7
31.4,46.2,0.0,7.0,1003.0
21.7,35.3,0.0,25.0,1009.5
17.1,28.7,0.0,19.0,1013.1
14.3,25.6,0.0,24.0,1016.9
13.6,26.3,0.0,18.0,1017.5
13.9,27.8,0.0,17.0,1016.5
14.1,29.7,0.0,13.0,1015.5
18.2,32.0,0.0,25.0,1014.7
20.3,32.5,0.0,17.0,1013.2
17.9,33.9,0.0,11.0,1010.1
20.3,34.1,0.0,16.0,1008.6
21.2,35.3,0.0,20.0,1006.9
24.9,31.1,0.0,33.0,1010.7
18.9,30.6,0.0,29.0,1014.3
16.2,31.4,0.0,23.0,1014.2
16.9,34.7,0.0,12.0,1011.3
18.1,36.9,0.0,7.0,1011.1
17.2,35.2,0.0,21.0,1013.2
19.7,37.8,0.0,6.0,1012.3
22.9,40.9,0.0,11.0,1009.5
18.6,41.5,0.0,12.0,1009.4
21.0,36.0,0.0,19.0,1010.4
19.6,34.0,0.0,19.0,1011.1
21.6,40.3,0.0,10.0,1004.5
23.9,26.6,0.0,61.0,1012.1
11.2,25.9,2.2,28.0,1022.2
13.7,25.9,0.0,41.0,1020.9
14.8,27.5,0.0,34.0,1015.2
16.0,29.7,0.0,26.0,1012.4
18.6,28.5,0.0,28.0,1012.8
18.1,28.0,0.4,38.0,1013.3
16.6,32.1,4.2,17.0,1012.3
18.2,31.7,0.2,25.0,1011.9
20.2,32.3,0.2,23.0,1012.4
18.3,34.0,0.0,25.0,1012.7
21.0,28.3,0.0,26.0,1014.5
13.1,25.0,0.0,27.0,1017.7
14.5,25.7,0.0,37.0,1017.5
12.8,27.1,0.0,24.0,1015.8
13.4,32.1,0.0,15.0,1012.1
18.8,34.6,0.0,12.0,1012.3
17.1,36.3,0.0,8.0,1010.3
19.6,37.9,0.0,6.0,1008.9
16.8,28.6,0.0,24.0,1013.6
13.4,30.7,0.0,16.0,1012.2
16.6,26.8,0.0,35.0,1012.0
18.3,33.2,0.8,26.0,1014.2
18.4,29.0,0.0,33.0,1020.7
15.2,30.0,0.0,20.0,1021.6
14.4,32.1,0.0,10.0,1018.3
17.2,34.0,0.0,8.0,1016.5
16.7,34.3,0.0,5.0,1016.1
18.6,34.4,0.0,10.0,1014.8
18.5,34.6,0.0,13.0,1014.7
19.6,35.2,0.0,15.0,1015.6
17.8,26.1,0.0,23.0,1020.0
13.1,23.4,0.0,30.0,1023.3
12.2,23.7,0.0,31.0,1022.0
13.4,21.9,0.0,25.0,1024.3
10.7,21.9,0.0,24.0,1025.0
11.3,25.0,0.0,21.0,1022.6
12.4,26.0,0.0,13.0,1018.2
12.6,27.0,0.0,16.0,1018.0
13.1,28.9,0.0,12.0,1018.5
14.9,30.3,0.0,12.0,1017.8
13.3,30.5,0.0,12.0,1015.6
14.3,24.9,0.0,36.0,1014.3
15.4,26.7,1.0,29.0,1013.6
12.8,24.3,0.0,26.0,1015.0
12.8,25.9,0.0,26.0,1017.7
12.3,27.0,0.0,19.0,1020.3
13.5,25.9,0.0,25.0,1018.1
14.6,25.7,0.0,26.0,1015.4
17.9,28.2,0.0,20.0,1015.4
13.9,29.5,0.0,14.0,1014.7
18.3,23.8,0.0,68.0,1006.4
11.5,22.3,1.4,47.0,1009.1
13.5,22.5,0.0,51.0,1008.4
11.9,19.5,0.2,43.0,1015.2
7.8,22.9,0.0,38.0,1017.7
10.7,21.7,0.0,49.0,1019.9
10.8,20.9,0.2,42.0,1020.3
